codelist_testcd,codelist_instrument_label,best_c20993_code,best_c20993_name,jaccard_score,review_flag,runner_up_code,runner_up_name,runner_up_score,accept
ADCTC,Alzheimer's Disease Assessment Scale - Cognitive CDISC Version Functional Test,C100762,Alzheimer's Disease Assessment Scale-Cognitive CDISC Version Functional Test,1.0,,C214447,Alzheimer's Disease Assessment Scale-Cognitive Date 30th June 2015 Version Functional Test,0.545,
ADL01TC,Alzheimer's Disease Cooperative Study-Activities of Daily Living Inventory Questionnaire,C105166,Alzheimer's Disease Cooperative Study Activities of Daily Living Inventory Questionnaire,1.0,,C106889,Alzheimer's Disease Cooperative Study-Activities of Daily Living Inventory Severe Dementia Questionnaire,0.8,
ADT01TC,Alcohol Use Disorder Identification Test: Self-Report Version Questionnaire,C119097,Alcohol Use Disorder Identification Test Self-Report Version Questionnaire,1.0,,C225102,Alcohol Use Disorders Identification Test-Concise Self-Report Version Questionnaire,0.667,
ADTC01TC,Alcohol Use Disorder Identification Test-Consumption Questions Questionnaire,C119098,Alcohol Use Disorder Identification Test Alcohol Consumption Questions Questionnaire,1.0,,C119097,Alcohol Use Disorder Identification Test Self-Report Version Questionnaire,0.444,
AVL02TC,Rey Auditory Verbal Learning Test Functional Test,C123668,Rey Auditory Verbal Learning Functional Test,1.0,,C102112,Alzheimer's Disease Neuroimaging Initiative Auditory Verbal Learning Test Functional Test,0.4,
CHSF1TC,Craig Handicap Assessment and Reporting Technique - Short Form Interview Version Questionnaire,C117995,Craig Handicap Assessment and Reporting Technique-Short Form Interview Version Questionnaire,1.0,,C119101,Craig Handicap Assessment and Reporting Technique - Short Form Paper Version Questionnaire,0.75,
EOR30TC,European Organization for the Research and Treatment of Cancer Quality of Life - Anal Cancer 27 Items Questionnaire,C183596,European Organization for the Research and Treatment of Cancer Quality of Life Questionnaire - Anal Cancer 27 Items,1.0,,C220248,European Organization for the Research and Treatment of Cancer Quality of Life Questionnaire - Breast Cancer 42 Items,0.667,
EPIC2TC,The Expanded Prostate Cancer Index Composite for Clinical Practice Questionnaire,C127368,Expanded Prostate Cancer Index Composite for Clinical Practice Questionnaire,1.0,,C107630,Expanded Prostate Cancer Index Composite,0.667,
FAC001TC,The Functional Assessment of Cancer Therapy-General Version 4 Questionnaire,C127369,Functional Assessment of Cancer Therapy-General Version 4 Questionnaire,1.0,,C155326,Functional Assessment of Cancer Therapy-Bladder Version 4 Questionnaire,0.714,
FAC052TC,The National Comprehensive Cancer Network/Functional Assessment of Cancer Therapy-Prostate Symptom Index 17 Version 2 Questionnaire,C127370,National Comprehensive Cancer Network/Functional Assessment of Cancer Therapy-Prostate Symptom Index 17 Version 2 Questionnaire,1.0,,C122983,National Comprehensive Cancer Network-Functional Assessment of Cancer Therapy Prostate Symptom Index,0.727,
FPSR1TC,Faces Pain Scale - Revised Questionnaire,C100766,Faces Pain Scale Revised Questionnaire,1.0,,C20995,Pain Assessment Tool,0.333,
GCS01TC,Glasgow Coma Scale NINDS Version 1.0 Clinical Classification,C124710,Glasgow Coma Scale-NINDS Version 1.0 Clinical Classification,1.0,,C176057,Apgar Score Version 1 Clinical Classification,0.4,
HAMD1TC,Hamilton Depression Rating Scale - 17 Item Clinical Classification,C100767,Hamilton Depression Rating Scale 17 Item Clinical Classification,1.0,,C102119,Hamilton Depression Rating Scale 21-Item Clinical Classification,0.714,
HAMD3TC,Hamilton Depression Rating Scale - 24 Item Clinical Classification,C130307,Hamilton Depression Rating Scale-24 Item Clinical Classification,1.0,,C100767,Hamilton Depression Rating Scale 17 Item Clinical Classification,0.714,
HAMD4TC,Hamilton Depression Rating Scale - 6 Clinician Version Clinical Classification,C130306,Hamilton Depression Rating Scale 6 Clinician Version Clinical Classification,1.0,,C100767,Hamilton Depression Rating Scale 17 Item Clinical Classification,0.444,
LPPSS1TC,Lansky Play-Performance Status Scale Clinical Classification,C138333,The Lansky Play-Performance Status Scale Clinical Classification,1.0,,C100768,Karnofsky Performance Status Scale Clinical Classification,0.571,
NHPT01TC,Nine-Hole Peg Test Functional Test,C115791,Nine-Hole Peg Functional Test,1.0,,,,,
PASAT1TC,Paced Auditory Serial Addition Test Functional Test,C115792,Paced Auditory Serial Addition Functional Test,1.0,,C150911,Paced Tapping Test Functional Test,0.333,
PASI02TC,Psoriasis Area and Severity Index Version Feldman Clinical Classification,C179972,Psoriasis Area and Severity Index Feldman Version Clinical Classification,1.0,,C191042,Psoriasis Area and Severity Index Bozek Version Clinical Classification,0.75,
PASI03TC,Psoriasis Area and Severity Index Version Fredriksson Clinical Classification,C191040,Psoriasis Area and Severity Index Fredriksson Version Clinical Classification,1.0,,C191042,Psoriasis Area and Severity Index Bozek Version Clinical Classification,0.75,
PASI05TC,Psoriasis Area and Severity Index Version Bozek Clinical Classification,C191042,Psoriasis Area and Severity Index Bozek Version Clinical Classification,1.0,,C179972,Psoriasis Area and Severity Index Feldman Version Clinical Classification,0.75,
PROS01TC,The Prostate Cancer Specific Quality of Life Instrument Questionnaire,C127372,Prostate Cancer Specific Quality of Life Instrument Questionnaire,1.0,,C206485,Menopause-specific Quality of Life Questionnaire,0.5,
QSUB01TC,Questionnaire on Smoking Urges-Brief,C199519,Brief Questionnaire of Smoking Urges,1.0,,,,,
RPQ01TC,Rivermead Post Concussion Symptoms Questionnaire Questionnaire,C119103,Rivermead Post-Concussion Symptoms Questionnaire,1.0,,,,,
SDMT01TC,Symbol Digit Modalities Test Functional Test,C115793,Symbol Digit Modalities Functional Test,1.0,,,,,
SF361TC,"The Short Form 36 Health Survey Standard, US Version 1.0 Questionnaire",C100775,"Short Form 36 Health Survey Standard, US Version 1.0 Questionnaire",1.0,,C174066,"Short Form 12 Health Survey Standard, US Version 1.0 Questionnaire",0.778,
SF362TC,"The Short Form 36 Health Survey Acute, US Version 1.0 Questionnaire",C102120,"Short Form 36 Health Survey Acute, US Version 1.0 Questionnaire",1.0,,C174067,"Short Form 12 Health Survey Acute, US Version 1.0 Questionnaire",0.778,
SF363TC,"The Short Form 36 Health Survey Standard, US Version 2.0 Questionnaire",C102122,"Short Form 36 Health Survey Standard, US Version 2.0 Questionnaire",1.0,,C174068,"Short Form 12 Health Survey Standard, US Version 2.0 Questionnaire",0.778,
SF364TC,"The Short Form 36 Health Survey Acute, US Version 2.0 Questionnaire",C102121,"Short Form 36 Health Survey Acute, US Version 2.0 Questionnaire",1.0,,C174069,"Short Form 12 Health Survey Acute, US Version 2.0 Questionnaire",0.778,
SOAPR1TC,Screener and Opioid Assessment for Patients with Pain - Revised Questionnaire,C100777,Screener and Opioid Assessment for Patients with Pain Revised Questionnaire,1.0,,,,,
T25FW1TC,Timed 25-Foot Walk Test Functional Test,C115794,Timed 25-Foot Walk Functional Test,1.0,,,,,
TUG01TC,Timed Up and Go Test Functional Test,C115795,Timed Up and Go Functional Test,1.0,,C157021,Timed Get Up and Go Test,0.6,
ADL02TC,Alzheimer's Disease Cooperative Study-Activities of Daily Living Inventory Severe Dementia Version Questionnaire,C106889,Alzheimer's Disease Cooperative Study-Activities of Daily Living Inventory Severe Dementia Questionnaire,0.909,,C105166,Alzheimer's Disease Cooperative Study Activities of Daily Living Inventory Questionnaire,0.727,
PUL01TC,Performance of the Upper Limb Module for DMD Version 1.2 Functional Test,C138334,Performance of the Upper Limb Module for DMD 1.2 Functional Test,0.889,,C138335,Performance of the Upper Limb Module for DMD 2.0 Functional Test,0.7,
PUL02TC,Performance of the Upper Limb Module for DMD Version 2.0 Functional Test,C138335,Performance of the Upper Limb Module for DMD 2.0 Functional Test,0.889,,C138334,Performance of the Upper Limb Module for DMD 1.2 Functional Test,0.7,
GMSS01TC,The Glucose Monitoring System Satisfaction Survey Version: Type 1 Diabetes Questionnaire,C163814,The Glucose Monitoring Satisfaction Survey Version: Type 1 Diabetes Questionnaire,0.875,,,,,
EOR06TC,European Organisation for the Research and Treatment of Cancer Quality of Life Questionnaire - Colorectal Cancer Version 2.1 29 Items Questionnaire,C170644,European Organization for the Research and Treatment of Cancer Quality of Life Questionnaire - Colorectal Cancer Version 2.1 29 Items,0.857,,C220247,European Organization for the Research and Treatment of Cancer Quality of Life Questionnaire - Lung Cancer 29 Items,0.533,
EOR02TC,European Organisation for the Research and Treatment of Cancer Quality of Life Questionnaire - Palliative Care Version 1.0 Questionnaire,C161653,European Organization for the Research and Treatment of Cancer Quality of Life Questionnaire - Palliative Care Version 1.0,0.846,,C220250,European Organization for the Research and Treatment of Cancer Quality of Life Questionnaire - Breast Cancer Version 1.0 23 Items,0.562,
EOR29TC,European Organization for the Research and Treatment of Cancer Quality of Life Questionnaire - Chronic Lymphocytic Leukaemia 17 Items,C183595,European Organization for the Research and Treatment of Cancer Quality of Life Questionnaire - Chronic Lymphocytic Leukemia 17 Items,0.846,,C183596,European Organization for the Research and Treatment of Cancer Quality of Life Questionnaire - Anal Cancer 27 Items,0.571,
IPAQ03TC,International Physical Activity Questionnaire (October 2002) Long Last 7 Days Self-Administered Format Questionnaire,C141691,International Physical Activity Questionnaire (August 2002) Long Last 7 Days Self-Administered Format,0.846,,C141690,International Physical Activity Questionnaire (August 2002) Short Last 7 Days Self-Administered Format,0.714,
WD4TC,World Health Organization Disability Assessment Schedule 2.0 - 12 + 24-Item Interviewer Questionnaire,C130325,World Health Organization Disability Assessment Schedule 2.0 12+24-item Version Interviewer-administered Questionnaire,0.846,,C130322,World Health Organization Disability Assessment Schedule 2.0 12-item Version Interviewer-administered Questionnaire,0.769,
HAMDS1TC,Hamilton Depression Rating Scale - 6 Self-Report Questionnaire,C130314,Hamilton Depression Rating Scale 6 Self-Report Version Questionnaire,0.833,,C74528,Self-Report,0.4,
WD1TC,World Health Organization Disability Assessment Schedule 2.0 - 12-Item Interviewer Questionnaire,C130322,World Health Organization Disability Assessment Schedule 2.0 12-item Version Interviewer-administered Questionnaire,0.833,,C130325,World Health Organization Disability Assessment Schedule 2.0 12+24-item Version Interviewer-administered Questionnaire,0.769,
WD2TC,World Health Organization Disability Assessment Schedule 2.0 - 12-Item Proxy Questionnaire,C130323,World Health Organization Disability Assessment Schedule 2.0 12-item Version Proxy-administered Questionnaire,0.833,,C130322,World Health Organization Disability Assessment Schedule 2.0 12-item Version Interviewer-administered Questionnaire,0.692,
WD3TC,World Health Organization Disability Assessment Schedule 2.0 - 12-Item Self Questionnaire,C130324,World Health Organization Disability Assessment Schedule 2.0 12-item Version Self-administered Questionnaire,0.833,,C130322,World Health Organization Disability Assessment Schedule 2.0 12-item Version Interviewer-administered Questionnaire,0.692,
WD5TC,World Health Organization Disability Assessment Schedule 2.0 - 36-Item Interviewer Questionnaire,C130319,World Health Organization Disability Assessment Schedule 2.0 36-item Version Interviewer-administered Questionnaire,0.833,,C130322,World Health Organization Disability Assessment Schedule 2.0 12-item Version Interviewer-administered Questionnaire,0.692,
WD6TC,World Health Organization Disability Assessment Schedule 2.0 - 36-Item Proxy Questionnaire,C130320,World Health Organization Disability Assessment Schedule 2.0 36-item Version Proxy-administered Questionnaire,0.833,,C130323,World Health Organization Disability Assessment Schedule 2.0 12-item Version Proxy-administered Questionnaire,0.692,
WD7TC,World Health Organization Disability Assessment Schedule 2.0 - 36-Item Self Questionnaire,C130321,World Health Organization Disability Assessment Schedule 2.0 36-item Version Self-administered Questionnaire,0.833,,C130324,World Health Organization Disability Assessment Schedule 2.0 12-item Version Self-administered Questionnaire,0.692,
EOR18TC,European Organisation for the Research and Treatment of Cancer Quality of Life Questionnaire - Lung Cancer 13 Items Questionnaire,C168555,European Organization for the Research and Treatment of Cancer Quality of Life Questionnaire - Lung Cancer 13 Items,0.818,,C220246,European Organization for the Research and Treatment of Cancer Quality of Life Questionnaire - Lung Cancer 24 Items,0.667,
EOR20TC,European Organization for the Research and Treatment of Cancer Quality of Life Questionnaire - Oesophageal Cancer 18 Items,C183588,European Organization for the Research and Treatment of Cancer Quality of Life Questionnaire - Esophageal Cancer 18 Items,0.818,,C183586,European Organization for the Research and Treatment of Cancer Quality of Life Questionnaire - Hepatocellular Carcinoma 18 Items,0.75,
ADL03TC,Alzheimer's Disease Cooperative Study-Activities of Daily Living Inventory MCI Version Questionnaire,C105166,Alzheimer's Disease Cooperative Study Activities of Daily Living Inventory Questionnaire,0.8,,C106889,Alzheimer's Disease Cooperative Study-Activities of Daily Living Inventory Severe Dementia Questionnaire,0.667,
GCGI01TC,General Clinical Global Impressions Questionnaire,C105169,STANDARDS General Clinical Global Impressions Questionnaire,0.8,,,,,
PASI04TC,Psoriasis Area and Severity Index Version EMA Clinical Classification,C191042,Psoriasis Area and Severity Index Bozek Version Clinical Classification,0.75,,C179972,Psoriasis Area and Severity Index Feldman Version Clinical Classification,0.75,
PHQ05TC,Patient Health Questionnaire - 8 Questionnaire,C191043,The Patient Health Questionnaire - 8 Item,0.75,,C123386,Patient Health Questionnaire-2,0.5,
VFQ1TC,National Eye Institute Visual Functioning Questionnaire - 25 Version 2000 Interviewer-Administered Format Questionnaire,C112527,Visual Functioning Questionnaire 25-Interviewer Administered Format Version 2000,0.727,,C112528,Visual Functioning Questionnaire 25-Self Administered Format Version 2000,0.583,
VFQ2TC,National Eye Institute Visual Functioning Questionnaire - 25 Version 2000 Self-Administered Format Questionnaire,C112528,Visual Functioning Questionnaire 25-Self Administered Format Version 2000,0.727,,C112527,Visual Functioning Questionnaire 25-Interviewer Administered Format Version 2000,0.583,
WPAI02TC,The Work Productivity and Activity Impairment - General Health Version 2.0 Questionnaire,C100779,Work Productivity and Activity Impairment Specific Health Problems Version 2.0 Questionnaire,0.727,,C123285,Work Productivity and Activity Impairment General Health V2.0 Questionnaire,0.7,
DIBC01TC,Diary for Irritable Bowel Syndrome Symptoms-Constipation v1.0 Questionnaire,C183575,Diary for Irritable Bowel Syndrome Symptoms-Constipation Version 1.0 Questionnaire,0.7,,,,,
PA136TC,PROMIS Item Bank v1.0 - Fatigue - Short Form 7a Questionnaire,C202502,PROMIS Item Bank Version 1.0 Fatigue Short Form 7a Questionnaire,0.7,,C129493,PROMIS Short Form v1.0 - Fatigue 8a,0.556,
WPAI01TC,Work Productivity and Activity Impairment Questionnaire - Specific Health Problem V2.0 Questionnaire,C123285,Work Productivity and Activity Impairment General Health V2.0 Questionnaire,0.7,,C100779,Work Productivity and Activity Impairment Specific Health Problems Version 2.0 Questionnaire,0.583,
AVL01TC,ADNI Auditory Verbal Learning Functional Test,C123668,Rey Auditory Verbal Learning Functional Test,0.667,,C102112,Alzheimer's Disease Neuroimaging Initiative Auditory Verbal Learning Test Functional Test,0.4,
FAQNA1TC,Functional Assessment Questionnaire-NACC UDS V2.0 Clinical Classification,C111382,Functional Assessment Questionnaire-NACC UDS Version 2.0 Clinical Classification,0.667,,C170643,Functional Assessment Scale-NACC UDS Version 3.0 Clinical Classification,0.667,
PI01TC,Pain Intensity Questionnaire,C105167,STANDARDS Pain Intensity Questionnaire,0.667,,C20995,Pain Assessment Tool,0.5,
PR01TC,Pain Relief Questionnaire,C105168,STANDARDS Pain Relief Questionnaire,0.667,,C20995,Pain Assessment Tool,0.5,
SIQ02TC,Suicidal Ideation Questionnaire-JR Questionnaire,C150920,Suicidal Ideation Questionnaire,0.667,,C150921,Suicidal Ideation Questionnaire-Junior,0.5,
ADC1TC,Alzheimer's Disease Assessment Scale-Cognitive 30JUN2015 Functional Test,C100762,Alzheimer's Disease Assessment Scale-Cognitive CDISC Version Functional Test,0.625,,C166278,Huntington's Disease Cognitive Assessment Battery Functional Test,0.5,
MMS1TC,Mini-Mental State Examination Functional Test,C150910,Mini-Mental State Examination 2 Standard Version Functional Test,0.625,,,,,
FAMS01TC,Functional Assessment of Multiple Sclerosis Version 4 Questionnaire,C112521,Functional Assessment of Multiple Sclerosis Questionnaire,0.6,,C123664,Multiple Sclerosis Impact Scale Version 1 Questionnaire,0.429,
FAC039TC,Functional Assessment of Cancer Therapy-Kidney Symptom Index-15 Questionnaire,C138336,Functional Assessment of Cancer Therapy-Brain Symptom Index Questionnaire,0.571,LOW_CONFIDENCE,C138338,Functional Assessment of Cancer Therapy-Lung Symptom Index Questionnaire,0.571,
SOFA01TC,Sepsis-related Organ Failure Assessment 27MAR2024 Clinical Classification,C204319,Sepsis-related Organ Failure Assessment 27th March 2024 Version Clinical Classification,0.545,LOW_CONFIDENCE,,,,
NPS01TC,Neuropathic Pain Scale Questionnaire,C20995,Pain Assessment Tool,0.5,LOW_CONFIDENCE,C100759,Brief Pain Inventory Questionnaire,0.333,
SGRQC1TC,St. George's Respiratory Questionnaire for COPD Patients Questionnaire,C106890,St. George's Respiratory Questionnaire for Chronic Obstructive Pulmonary Disease Patients,0.5,LOW_CONFIDENCE,C112525,St. George's Respiratory Questionnaire Past 3 Months Version,0.4,
VHI01TC,Voice Handicap Index Questionnaire,C128068,Voice Handicap Index Emotional Subscale,0.5,LOW_CONFIDENCE,C128065,Voice Handicap Index Functional Subscale,0.5,
AJCC1TC,AJCC TNM Staging System 7th Edition Clinical Classification,,,0.4,NO_CANDIDATE,,,,
FSS01TC,Fatigue Severity Scale Questionnaire,,,0.333,NO_CANDIDATE,C176880,Insomnia Severity Index,0.333,
BCR101TC,Borg CR10 Scale Questionnaire,,,0.25,NO_CANDIDATE,,,,
NPI1TC,Neuropsychiatric Inventory Questionnaire,,,0.25,NO_CANDIDATE,,,,
TMT01TC,Trail Making Test Functional Test,,,0.25,NO_CANDIDATE,,,,
PQL17TC,Pediatric Quality of Life Neuromuscular Module Acute Version 3 Young Child Parent Report Questionnaire,C138344,Pediatric Quality of Life Neuromuscular Module Acute Version 3.0 Parent Report for Young Child Questionnaire,0.923,VERSION_MISMATCH,C138341,Pediatric Quality of Life Neuromuscular Module Acute Version 3.0 Parent Report for Child Questionnaire,0.846,
PQL08TC,Pediatric Quality of Life Neuromuscular Module Version 3 Young Child Parent Report Questionnaire,C138353,Pediatric Quality of Life Neuromuscular Module Version 3.0 Parent Report for Young Child Questionnaire,0.917,VERSION_MISMATCH,C138344,Pediatric Quality of Life Neuromuscular Module Acute Version 3.0 Parent Report for Young Child Questionnaire,0.846,
PQL13TC,Pediatric Quality of Life Neuromuscular Module Acute Version 3 Teen Parent Report Questionnaire,C138342,Pediatric Quality of Life Neuromuscular Module Acute Version 3.0 Parent Report for Teen Questionnaire,0.917,VERSION_MISMATCH,C138345,Pediatric Quality of Life Neuromuscular Module Acute Version 3.0 Teen Report Questionnaire,0.833,
PQL15TC,Pediatric Quality of Life Neuromuscular Module Acute Version 3 Child Parent Report Questionnaire,C138341,Pediatric Quality of Life Neuromuscular Module Acute Version 3.0 Parent Report for Child Questionnaire,0.917,VERSION_MISMATCH,C138344,Pediatric Quality of Life Neuromuscular Module Acute Version 3.0 Parent Report for Young Child Questionnaire,0.846,
PQL04TC,Pediatric Quality of Life Neuromuscular Module Version 3 Teen Parent Report Questionnaire,C138351,Pediatric Quality of Life Neuromuscular Module Version 3.0 Parent Report for Teen Questionnaire,0.909,VERSION_MISMATCH,C138342,Pediatric Quality of Life Neuromuscular Module Acute Version 3.0 Parent Report for Teen Questionnaire,0.833,
PQL06TC,Pediatric Quality of Life Neuromuscular Module Version 3 Child Parent Report Questionnaire,C138350,Pediatric Quality of Life Neuromuscular Module Version 3.0 Parent Report for Child Questionnaire,0.909,VERSION_MISMATCH,C138341,Pediatric Quality of Life Neuromuscular Module Acute Version 3.0 Parent Report for Child Questionnaire,0.833,
PQL11TC,Pediatric Quality of Life Neuromuscular Module Acute Version 3 Young Adult Parent Report Questionnaire,C138346,Pediatric Quality of Life Neuromuscular Module Acute Version 3.0 Young Adult Report Questionnaire,0.846,VERSION_MISMATCH,C138343,Pediatric Quality of Life Neuromuscular Module Acute Version 3.0 Parent Report for Young Adults Questionnaire,0.786,
PQL02TC,Pediatric Quality of Life Neuromuscular Module Version 3 Young Adult Parent Report Questionnaire,C138355,Pediatric Quality of Life Neuromuscular Module Version 3.0 Young Adult Report Questionnaire,0.833,VERSION_MISMATCH,C138346,Pediatric Quality of Life Neuromuscular Module Acute Version 3.0 Young Adult Report Questionnaire,0.769,
PQL10TC,Pediatric Quality of Life Neuromuscular Module Acute Version 3 Young Adult Questionnaire,C138346,Pediatric Quality of Life Neuromuscular Module Acute Version 3.0 Young Adult Report Questionnaire,0.833,VERSION_MISMATCH,C138355,Pediatric Quality of Life Neuromuscular Module Version 3.0 Young Adult Report Questionnaire,0.75,
PQL16TC,Pediatric Quality of Life Neuromuscular Module Acute Version 3 Young Child Questionnaire,C138347,Pediatric Quality of Life Neuromuscular Module Acute Version 3.0 Young Child Report Questionnaire,0.833,VERSION_MISMATCH,C138344,Pediatric Quality of Life Neuromuscular Module Acute Version 3.0 Parent Report for Young Child Questionnaire,0.769,
PQL18TC,Pediatric Quality of Life Neuromuscular Module Acute Version 3 Toddler Parent Report Questionnaire,C138340,Pediatric Quality of Life Neuromuscular Module Acute Version 3.0 Parent of Toddler Questionnaire,0.833,VERSION_MISMATCH,C138341,Pediatric Quality of Life Neuromuscular Module Acute Version 3.0 Parent Report for Child Questionnaire,0.769,
CSS03TC,Columbia-Suicide Severity Rating Scale Baseline/Screening Version Phase 1 Study Questionnaire,C105164,Columbia-Suicide Severity Rating Scale Baseline/Screening Version Phase 1 Study 1/14/09 Questionnaire,0.818,VERSION_MISMATCH,C106696,Columbia-Suicide Severity Rating Scale Baseline/Screening Version Questionnaire,0.667,
PQL01TC,Pediatric Quality of Life Neuromuscular Module Version 3 Young Adult Questionnaire,C138355,Pediatric Quality of Life Neuromuscular Module Version 3.0 Young Adult Report Questionnaire,0.818,VERSION_MISMATCH,C138346,Pediatric Quality of Life Neuromuscular Module Acute Version 3.0 Young Adult Report Questionnaire,0.75,
PQL07TC,Pediatric Quality of Life Neuromuscular Module Version 3 Young Child Questionnaire,C138356,Pediatric Quality of Life Neuromuscular Module Version 3.0 Young Child Report Questionnaire,0.818,VERSION_MISMATCH,C138347,Pediatric Quality of Life Neuromuscular Module Acute Version 3.0 Young Child Report Questionnaire,0.75,
PQL09TC,Pediatric Quality of Life Neuromuscular Module Version 3 Toddler Parent Report Questionnaire,C138349,Pediatric Quality of Life Neuromuscular Module Version 3.0 Parent of Toddler Questionnaire,0.818,VERSION_MISMATCH,C138340,Pediatric Quality of Life Neuromuscular Module Acute Version 3.0 Parent of Toddler Questionnaire,0.75,
PQL12TC,Pediatric Quality of Life Neuromuscular Module Acute Version 3 Teen Questionnaire,C138345,Pediatric Quality of Life Neuromuscular Module Acute Version 3.0 Teen Report Questionnaire,0.818,VERSION_MISMATCH,C138342,Pediatric Quality of Life Neuromuscular Module Acute Version 3.0 Parent Report for Teen Questionnaire,0.75,
PQL14TC,Pediatric Quality of Life Neuromuscular Module Acute Version 3 Child Questionnaire,C138339,Pediatric Quality of Life Neuromuscular Module Acute Version 3.0 Child Report Questionnaire,0.818,VERSION_MISMATCH,C138341,Pediatric Quality of Life Neuromuscular Module Acute Version 3.0 Parent Report for Child Questionnaire,0.75,
PA016TC,PROMIS Item Bank v2.0 - Cognitive Function - Short Form 6a Questionnaire,C200568,PROMIS Item Bank v2.0 - Cognitive Function - Short Form 4a,0.8,VERSION_MISMATCH,C226456,PROMIS Item Bank v2.0 - Cognitive Function,0.778,
PQL03TC,Pediatric Quality of Life Neuromuscular Module Version 3 Teen Questionnaire,C138354,Pediatric Quality of Life Neuromuscular Module Version 3.0 Teen Report Questionnaire,0.8,VERSION_MISMATCH,C138345,Pediatric Quality of Life Neuromuscular Module Acute Version 3.0 Teen Report Questionnaire,0.727,
PQL05TC,Pediatric Quality of Life Neuromuscular Module Version 3 Child Questionnaire,C138348,Pediatric Quality of Life Neuromuscular Module Version 3.0 Child Report Questionnaire,0.8,VERSION_MISMATCH,C138339,Pediatric Quality of Life Neuromuscular Module Acute Version 3.0 Child Report Questionnaire,0.727,
PA020TC,PROMIS Item Bank v2.0 - Cognitive Function - Abilities Subset - Short Form 6a Questionnaire,C200568,PROMIS Item Bank v2.0 - Cognitive Function - Short Form 4a,0.667,VERSION_MISMATCH,C226456,PROMIS Item Bank v2.0 - Cognitive Function,0.636,
UHDR1TC,Unified Huntington's Disease Rating Scale '99 Clinical Classification,C155324,Unified Huntington's Disease Rating Scale 1999 Version Clinical Classification,0.667,VERSION_MISMATCH,C100778,Unified Parkinson's Disease Rating Scale Clinical Classification,0.625,
EOR19TC,European Organization for the Research and Treatment of Cancer Quality of Life Questionnaire - Multiple Myeloma 20 Items,C183596,European Organization for the Research and Treatment of Cancer Quality of Life Questionnaire - Anal Cancer 27 Items,0.615,VERSION_MISMATCH,C220248,European Organization for the Research and Treatment of Cancer Quality of Life Questionnaire - Breast Cancer 42 Items,0.615,
