COSMoS_BC_ID,NCIt_Code,BC_Name,BC_Definition,BC_Synonyms,BC_Type,BC_Scope,TESTCD,TEST,TESTCD_NCIt,Categories,Hierarchy_Path,Parent_Label,Row_Type,Domains_with_DS,DS_Code,DS_Name,Domain,Domain_Class,Result_Scale,Specimen,Specimen_NCIt,Method,Method_NCIt,LOINC_Code_Count,LOINC_Code,Allowed_Units,Standard_Unit,COSMoS_Category,COSMoS_Subcategory,Decimal_Places,location,laterality,evaluator
C119545,C119545,Forced Expiratory Flow at 25-75 Percent,The mean forced expiratory flow rate at 25-75% of the forced vital capacity.,FEF2575;Forced Expiratory Flow 25-75%,full,Subject,FEF2575,Forced Expiratory Flow 25-75%,C119545,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,FEF2575_RE,Forced Expiratory Flow 25-75% (RE),RE,Findings,Quantitative,,,,,0.0,,L/s; L/min,,,,3.0,,,
C139253,C139253,Forced Expiratory Flow at 50 Percent Forced Vital Capacity,The mean forced expiratory flow rate at 50% of the forced vital capacity.,FEF50;Forced Expiratory Flow 50%,full,Subject,FEF50,Forced Expiratory Flow 50%,C139253,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,FEF50_RE,Forced Expiratory Flow 50% (RE),RE,Findings,Quantitative,,,,,0.0,,L/s; L/min,,,,3.0,,,
C139250,C139250,Forced Expiratory Flow in 0.05 Second,The forced expiratory flow rate during the first 0.05 seconds of a forced exhalation.,FEF_05;FEF 0.05s,full,Subject,FEF_05,Forced Expiratory Flow in 0.05 Second,C139250,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,FEF_05_RE,Forced Expiratory Flow in 0.05 Second (RE),RE,Findings,Quantitative,,,,,0.0,,L/s; L/min,,,,3.0,,,
C139251,C139251,Forced Expiratory Flow in 0.1 Second,The forced expiratory flow rate during the first 0.1 seconds of a forced exhalation.,FEF_1;FEF 0.1s,full,Subject,FEF_1,Forced Expiratory Flow in 0.1 Second,C139251,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,FEF_1_RE,Forced Expiratory Flow in 0.1 Second (RE),RE,Findings,Quantitative,,,,,0.0,,L/s; L/min,,,,3.0,,,
C139252,C139252,Forced Expiratory Flow in 0.2 Second,The forced expiratory flow rate during the first 0.2 seconds of a forced exhalation.,FEF_2;FEF 0.2s,full,Subject,FEF_2,Forced Expiratory Flow in 0.2 Second,C139252,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,FEF_2_RE,Forced Expiratory Flow in 0.2 Second (RE),RE,Findings,Quantitative,,,,,0.0,,L/s; L/min,,,,3.0,,,
C201471,C201471,Forced Expiratory Time,The time taken to fully expirate air from the lungs.,FET,full,Subject,FET,Forced Expiratory Time,C201471,Respiratory System Findings,Expiratory Time,Expiratory Time,DSS,RE,FET_RE,Forced Expiratory Time (RE),RE,Findings,Quantitative,,,,,0.0,,ms; s,,,,3.0,,,
C120933,C120933,Forced Expiratory Volume,The volume of gas an individual can forcible exhale from the lungs in one breath.,FEV,hierarchy_only,Subject,,,,Respiratory System Findings,,,BC_only_hierarchy,,,,,,,,,,,,,,,,,,,,
C139249,C139249,Forced Expiratory Volume at Peak Expiratory Flow,The volume of gas that is forcibly exhaled at the peak of expiratory flow.,FEV at PEF;FEV_PEF,full,Subject,FEV_PEF,FEV at PEF,C139249,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,FEV_PEF_RE,FEV at PEF (RE),RE,Findings,Quantitative,,,,,0.0,,L; mL,,,,3.0,,,
C139246,C139246,Forced Expiratory Volume in 0.05 Second,The volume of air that can be forcibly exhaled during the first 0.05 second following maximal inhalation.,FEV_05;FEV 0.05s,full,Subject,FEV_05,Forced Expiratory Volume in 0.05 Second,C139246,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,FEV_05_RE,Forced Expiratory Volume in 0.05 Second (RE),RE,Findings,Quantitative,,,,,0.0,,L; mL,,,,3.0,,,
C139243,C139243,Forced Expiratory Volume in 0.05 Second to FVC Ratio Measurement,The ratio of the volume of gas that is forcibly exhaled during the first 0.05 seconds following maximal inhalation to that of the forced vital capacity.,EV_05FVC;Forced Expiratory Volume in 0.05 S/FVC;Forced Expiratory Volume in 0.05 Seconds over FVC,full,Subject,EV_05FVC,Forced Expiratory Volume in 0.05 S/FVC,C139243,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,EV_05FVC_RE,Forced Expiratory Volume in 0.05 S/FVC (RE),RE,Findings,Quantitative,,,,,0.0,,RATIO; %,,,,3.0,,,
C139247,C139247,Forced Expiratory Volume in 0.1 Second,The volume of air that can be forcibly exhaled during the first 0.1 second following maximal inhalation.,FEV_1;FEV 0.1s,full,Subject,FEV_1,Forced Expiratory Volume in 0.1 Second,C139247,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,FEV_1_RE,Forced Expiratory Volume in 0.1 Second (RE),RE,Findings,Quantitative,,,,,0.0,,L; mL,,,,3.0,,,
C139244,C139244,Forced Expiratory Volume in 0.1 Second to FVC Ratio Measurement,The ratio of the volume of gas that is forcibly exhaled during the first 0.1 seconds following maximal inhalation to that of the forced vital capacity.,EV_1FVC;Forced Expiratory Volume in 0.1 S/FVC;Forced Expiratory Volume in 0.1 Seconds over FVC,full,Subject,EV_1FVC,Forced Expiratory Volume in 0.1 S/FVC,C139244,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,EV_1FVC_RE,Forced Expiratory Volume in 0.1 S/FVC (RE),RE,Findings,Quantitative,,,,,0.0,,RATIO; %,,,,3.0,,,
C139248,C139248,Forced Expiratory Volume in 0.2 Second,The volume of air that can be forcibly exhaled during the first 0.2 second following maximal inhalation.,FEV_2;FEV 0.2s,full,Subject,FEV_2,Forced Expiratory Volume in 0.2 Second,C139248,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,FEV_2_RE,Forced Expiratory Volume in 0.2 Second (RE),RE,Findings,Quantitative,,,,,0.0,,L; mL,,,,3.0,,,
C139245,C139245,Forced Expiratory Volume in 0.2 Second to FVC Ratio Measurement,The ratio of the volume of gas that is forcibly exhaled during the first 0.2 seconds following maximal inhalation to that of the forced vital capacity.,EV_2FVC;Forced Expiratory Volume in 0.2 S/FVC;Forced Expiratory Volume in 0.2 Seconds over FVC,full,Subject,EV_2FVC,Forced Expiratory Volume in 0.2 S/FVC,C139245,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,EV_2FVC_RE,Forced Expiratory Volume in 0.2 S/FVC (RE),RE,Findings,Quantitative,,,,,0.0,,RATIO; %,,,,3.0,,,
C139262,C139262,Forced Expiratory Volume in 0.5 Second,The volume of air that can be forcibly exhaled during the first half second following maximal inhalation.,FEV_5;FEV 0.5s,full,Subject,FEV_5,Forced Expiratory Volume in 0.5 Second,C139262,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,FEV_5_RE,Forced Expiratory Volume in 0.5 Second (RE),RE,Findings,Quantitative,,,,,0.0,,L; mL,,,,3.0,,,
C174362,C174362,Forced Expiratory Volume in 0.75 Second,The volume of air that can be forcibly exhaled during the first 3/4 second following maximal inhalation.,FEV_75;FEV 0.75s,full,Subject,FEV_75,Forced Expiratory Volume in 0.75 Second,C174362,Respiratory System Findings,Forced Expiratory Volume,Forced Expiratory Volume,DSS,RE,FEV_75_RE,Forced Expiratory Volume in 0.75 Second (RE),RE,Findings,Quantitative,,,,,0.0,,L; mL,,,,3.0,,,
C38084,C38084,Forced Expiratory Volume in 1 Second,"A test of lung function, the FEV1 is the volume exhaled during the first second of a forced expiratory maneuver started from the level of total lung capacity. It is the most frequently used index for assessing bronchoconstriction or bronchodilatation.",FEV1;FEV1%VC;Forced Expiratory Volume 1 Test;PFT/FEV1;Pulmonary Function Test/Forced Expiratory Volume 1,full,Subject,FEV1,Forced Expiratory Volume in 1 Second,C38084,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,FEV1_RE,Forced Expiratory Volume in 1 Second (RE),RE,Findings,Quantitative,,,,,0.0,,L; mL,,,,3.0,,,
C112285,C112285,Forced Expiratory Volume in 1 Second Reversibility,The change in FEV1 following administration of a bronchodilator relative to the pre-treatment FEV1 value. (CDISC),FEV1 Reversibility;FEV1REV,full,Subject,FEV1REV,FEV1 Reversibility,C112285,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,FEV1REV_RE,FEV1 Reversibility (RE),RE,Findings,Quantitative,,,,,0.0,,,,,,2.0,,,
C111359,C111359,Forced Expiratory Volume in 1 Second to Forced Vital Capacity Ratio Measurement,The proportion of total forced vital capacity that is expelled during the first second of a forced exhalation.,FEV1/FVC;FEV1FVC,full,Subject,FEV1FVC,FEV1/FVC,C111359,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,FEV1FVC_RE,FEV1/FVC (RE),RE,Findings,Quantitative,,,,,0.0,,RATIO; %,,,,3.0,,,
C123565,C123565,Forced Expiratory Volume in 1 Second to Forced Vital Capacity in 6 Seconds,A calculated ratio of the forced expiratory volume in one second to the largest observed expired volume during the first six seconds of a forced vital capacity (FVC) maneuver.,FEV1/FVC6;FEV1FVC6,full,Subject,FEV1FVC6,FEV1/FVC6,C123565,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,FEV1FVC6_RE,FEV1/FVC6 (RE),RE,Findings,Quantitative,,,,,0.0,,RATIO; %,,,,3.0,,,
C170626,C170626,Forced Expiratory Volume in 1 Second to Slow Vital Capacity Ratio Measurement,A relative measurement (ratio or percentage) of the forced expiratory volume during the first second of exhalation to the largest observed expired volume during a slow vital capacity maneuver.,FEV1/SVC;FEV1SVC,full,Subject,FEV1SVC,FEV1/SVC,C170626,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,FEV1SVC_RE,FEV1/SVC (RE),RE,Findings,Quantitative,,,,,0.0,,RATIO; %,,,,3.0,,,
C132453,C132453,Forced Expiratory Volume in 3 Seconds,The volume exhaled during the first three seconds of a forced expiratory maneuver that is started from the level of total lung capacity.,FEV3,full,Subject,FEV3,Forced Expiratory Volume in 3 Seconds,C132453,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,FEV3_RE,Forced Expiratory Volume in 3 Seconds (RE),RE,Findings,Quantitative,,,,,0.0,,L; mL,,,,3.0,,,
C170625,C170625,Forced Expiratory Volume in 3 Seconds to Forced Vital Capacity Ratio Measurement,A relative measurement (ratio or percentage) of the forced expiratory volume during the first three seconds of exhalation to the largest observed expired volume during a forced vital capacity maneuver.,FEV3/FVC;FEV3FVC,full,Subject,FEV3FVC,FEV3/FVC,C170625,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,FEV3FVC_RE,FEV3/FVC (RE),RE,Findings,Quantitative,,,,,0.0,,RATIO; %,,,,3.0,,,
C47843,C47843,Forced Expiratory Volume in 6 Seconds,"A test of lung function, the FEV6 is the volume exhaled during six seconds of a forced expiratory maneuver started from the level of total lung capacity.",FEV6;Forced Expiratory Volume 6;Forced Expiratory Volume 6 Test,full,Subject,FEV6,Forced Expiratory Volume in 6 Seconds,C47843,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,FEV6_RE,Forced Expiratory Volume in 6 Seconds (RE),RE,Findings,Quantitative,,,,,0.0,,L; mL,,,,3.0,,,
C124418,C124418,Forced Inspiratory Flow at 25%,The forced inspiratory flow rate at the point on the inspiratory flow-volume curve where 25 percent of the total volume of gas has been inhaled.,FIF25,full,Subject,FIF25,Forced Inspiratory Flow at 25%,C124418,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,FIF25_RE,Forced Inspiratory Flow at 25% (RE),RE,Findings,Quantitative,,,,,0.0,,L/s; L/min,,,,3.0,,,
C124419,C124419,Forced Inspiratory Flow at 50%,The forced inspiratory flow rate at the point on the inspiratory flow-volume curve where 50 percent of the total volume of gas has been inhaled.,FIF50,full,Subject,FIF50,Forced Inspiratory Flow at 50%,C124419,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,FIF50_RE,Forced Inspiratory Flow at 50% (RE),RE,Findings,Quantitative,,,,,0.0,,L/s; L/min,,,,3.0,,,
C124420,C124420,Forced Inspiratory Flow at 75%,The forced inspiratory flow rate at the point on the inspiratory flow-volume curve where 75 percent of the total volume of gas has been inhaled.,FIF75,full,Subject,FIF75,Forced Inspiratory Flow at 75%,C124420,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,FIF75_RE,Forced Inspiratory Flow at 75% (RE),RE,Findings,Quantitative,,,,,0.0,,L/s; L/min,,,,3.0,,,
C139263,C139263,Forced Inspiratory Vital Capacity,The difference in lung volume between maximal expiration to residual volume followed immediately by full inspiration to total lung capacity during forceful inhalation.,FIVC,full,Subject,FIVC,Forced Inspiratory Vital Capacity,C139263,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,FIVC_RE,Forced Inspiratory Vital Capacity (RE),RE,Findings,Quantitative,,,,,0.0,,L; mL,,,,3.0,,,
C111360,C111360,Forced Inspiratory Volume in 1 Second,The volume of air that a subject can breathe in during the first second of inhalation after maximum exhalation.,FIV1,full,Subject,FIV1,Forced Inspiratory Volume in 1 Second,C111360,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,FIV1_RE,Forced Inspiratory Volume in 1 Second (RE),RE,Findings,Quantitative,,,,,0.0,,L; mL,,,,3.0,,,
C111361,C111361,Forced Vital Capacity,The maximum volume of air that can be exhaled after forced maximum inhalation.,FVC,full,Subject,FVC,Forced Vital Capacity,C111361,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,FVC_RE,Forced Vital Capacity (RE),RE,Findings,Quantitative,,,,,0.0,,L; mL,,,,3.0,,,
C124421,C124421,Forced Vital Capacity in 6 Seconds,The volume of gas a subject can forcefully exhale during the first six seconds following maximum inhalation.,FVC6,full,Subject,FVC6,Forced Vital Capacity in 6 Seconds,C124421,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,FVC6_RE,Forced Vital Capacity in 6 Seconds (RE),RE,Findings,Quantitative,,,,,0.0,,L; mL,,,,3.0,,,
C100946,C100946,Forearm Circumference,A circumferential measurement of the largest part of the forearm.,FARMCIR,full,Subject,FARMCIR,Forearm Circumference,C100946,Body Measurements; Vital Signs,Anatomical Circumference,Anatomical Circumference,DSS,VS,FARMCIR,Forearm Circumference,VS,Findings,Quantitative,,,,,0.0,,cm; in; mm,,,,3.0,,,
C38082,C38082,Fraction of Inspired Oxygen,The molar fraction of oxygen in an inhaled gas.,Maximum fraction of inspired oxygen (FiO2);Inhaled oxygen concentration;FIO2;FiO2,full,Subject,FIO2,Fraction of Inspired Oxygen,C38082,Pulmonary Function Test; Respiratory System Findings; Vital Signs,Pulmonary Function Test,Pulmonary Function Test,DSS,RE; VS,FIO2,Fraction of Inspired Oxygen,VS,Findings,Quantitative,,,,,0.0,,%,,,,3.0,,,
C38082,C38082,Fraction of Inspired Oxygen,The molar fraction of oxygen in an inhaled gas.,Maximum fraction of inspired oxygen (FiO2);Inhaled oxygen concentration;FIO2;FiO2,full,Subject,FIO2,Fraction of Inspired Oxygen,C38082,Pulmonary Function Test; Respiratory System Findings; Vital Signs,Pulmonary Function Test,Pulmonary Function Test,DSS,RE; VS,FIO2_RE,Fraction of Inspired Oxygen (RE),RE,Findings,Quantitative,,,,,0.0,,%,%,,,3.0,,,
C89800,C89800,Functional Residual Capacity,The volume of air remaining in the lungs after a normal exhalation.,FRC,full,Subject,FRC,Functional Residual Capacity,C89800,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,FRC_RE,Functional Residual Capacity (RE),RE,Findings,Quantitative,,,,,0.0,,L; mL,,,,3.0,,,
C81255,C81255,Head Circumference,"A circumferential measurement of the head at the widest point, which is traditionally above the eyebrows.",HDCIRC;Occipital-Frontal Circumference,full,Subject,HDCIRC,Head Circumference,C81255,Body Measurements; Vital Signs,Anatomical Circumference,Anatomical Circumference,DSS,VS,HDCIRC,Head Circumference,VS,Findings,Quantitative,,,,,0.0,,cm; in; mm,,,,3.0,,,
C205753,C205753,Head Circumference-for-Age Percentile,"A measurement of an individual's head circumference in relationship to age, in comparison to a reference percentile curve.",HCRAPCTL;Head Occipital-Frontal Circumference-for-Age Percentile,full,Subject,HCRAPCTL,Head Circumference-for-Age Percentile,C205753,Body Measurements; Vital Signs,,,DSS,VS,HCRAPCTL,Head Circumference-for-Age Percentile,VS,Findings,Quantitative,,,,,0.0,,,,,,2.0,,,
C199998,C199998,"Heart Rate Variability, Average Standard Deviation NN Interval Measurement","A measurement of the fluctuation in the time intervals between adjacent heartbeats, based on the average standard deviation of the means of consecutive 5 minute NN intervals over a period of time.","Heart Rate Variability, Average Standard Deviation NN Interval;Heart Rate Variability, SDANN;HRVSDANN",full,Subject,HRVSDANN,"Heart Rate Variability, SDANN",C199998,Cardiac Function Study; Heart Rate Variability,"Cardiac Function Study > Heart Rate Variability, Standard Deviation NN Interval Measurement","Heart Rate Variability, Standard Deviation NN Interval Measurement",DSS,VS,HRVSDANN,"Heart Rate Variability, SDANN",VS,Findings,Quantitative,,,,,0.0,,ms,,,,3.0,,,
C199682,C199682,"Heart Rate Variability, Standard Deviation NN Interval Measurement","A measurement of the fluctuation in the time intervals between adjacent heartbeats, based on the standard deviation of the NN interval.","Heart Rate Variability, SDNN;Heart Rate Variability, Standard Deviation NN Interval;HRVSDNN",full,Subject,HRVSDNN,"Heart Rate Variability, SDNN",C199682,Cardiac Function Study; Heart Rate Variability,Cardiac Function Study,Cardiac Function Study,DSS,VS,HRVSDNN,"Heart Rate Variability, SDNN",VS,Findings,Quantitative,,,,,0.0,,ms,,,,3.0,,,
C163568,C163568,Height-for-Age Percentile,"A measurement of an individual's height in relationship to age, in comparison to a reference percentile curve.",HTAPCTL,full,Subject,HTAPCTL,Height-for-Age Percentile,C163568,Body Measurements; Vital Signs,,,DSS,VS,HTAPCTL,Height-for-Age Percentile,VS,Findings,Quantitative,,,,,0.0,,,,,,2.0,,,
C120825,C120825,Hemoglobin Corrected Diffusion Capacity of the Lung for Carbon Monoxide,An assessment of the diffusion capacity of the lungs for carbon monoxide adjusted for hemoglobin concentration.,DLCOHC;HGB Corrected DLCO,full,Subject,DLCOHC,HGB Corrected DLCO,C120825,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,DLCOHC_RE,HGB Corrected DLCO (RE),RE,Findings,Quantitative,,,,,0.0,,L; mL,,,,3.0,,,
C120827,C120827,Hemoglobin Corrected Diffusion Capacity of the Lung for Carbon Monoxide/Alveolar Volume Ratio,The diffusion capacity of the lungs for carbon monoxide adjusted for the ratio of hemoglobin concentration to alveolar volume.,DLCOHCVA;HGB Corrected DLCO/VA,full,Subject,DLCOHCVA,HGB Corrected DLCO/VA,C120827,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,DLCOHCVA_RE,HGB Corrected DLCO/VA (RE),RE,Findings,Quantitative,,,,,0.0,,%; RATIO,,,,3.0,,,
C100947,C100947,Hip Circumference,A circumferential measurement of the largest part of the hip.,HIPCIR,full,Subject,HIPCIR,Hip Circumference,C100947,Body Measurements; Vital Signs,Anatomical Circumference,Anatomical Circumference,DSS,VS,HIPCIR,Hip Circumference,VS,Findings,Quantitative,,,,,0.0,,cm; in; mm,,,,3.0,,,
C18190,C18190,Histopathologic Examination,The microscopic study of characteristic tissue abnormalities by employing various cytochemical and immunocytochemical stains.,Histopathological;HISTOPATHOLOGY;histopathology;Histopathologic Study;Histopathology,hierarchy_only,Subject,,,,Respiratory System Findings,,,BC_only_hierarchy,,,,,,,,,,,,,,,,,,,,
C117976,C117976,Ideal Body Weight,A person's optimum weight as calculated by a standard methodology.,IDEALWT,full,Subject,IDEALWT,Ideal Body Weight,C117976,Body Measurements; Vital Signs,Weight > Body Weight,Body Weight,DSS,VS,IDEALWT,Ideal Body Weight,VS,Findings,Quantitative,,,,,0.0,,g; kg; LB,,,,3.0,,,
C171512,C171512,Infiltrates Indicator,An indication as to whether infiltrates have occurred.,INFLTIND,full,Subject,INFLTIND,Infiltrates Indicator,C171512,Respiratory System Findings,Indicator,Indicator,DSS,RE,INFLTIND_RE,Infiltrates Indicator (RE),RE,Findings,Qualitative,,,,,0.0,,,,,,2.0,,,
C111362,C111362,Inspiratory Capacity,The maximum volume of air a subject can inhale into the lungs after a tidal exhalation (IRV plus TV).,IC,full,Subject,IC,Inspiratory Capacity,C111362,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,IC_RE,Inspiratory Capacity (RE),RE,Findings,Quantitative,,,,,0.0,,L; mL,,,,3.0,,,
C112321,C112321,Inspiratory Capacity Reversibility,The change in IC following administration of a bronchodilator relative to the pre-treatment IC value. (CDISC),IC Reversibility;ICREV,full,Subject,ICREV,IC Reversibility,C112321,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,ICREV_RE,IC Reversibility (RE),RE,Findings,Quantitative,,,,,0.0,,,,,,2.0,,,
C111237,C111237,Inspiratory Reserve Volume,The maximum volume of air a subject can inhale into the lungs after a tidal inhalation.,IRV,full,Subject,IRV,Inspiratory Reserve Volume,C111237,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,IRV_RE,Inspiratory Reserve Volume (RE),RE,Findings,Quantitative,,,,,0.0,,mL; L,,,,3.0,,,
C124423,C124423,Inspiratory Vital Capacity,The maximum volume of gas an individual can inhale from the point of maximal exhalation.,IVC,full,Subject,IVC,Inspiratory Vital Capacity,C124423,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,IVC_RE,Inspiratory Vital Capacity (RE),RE,Findings,Quantitative,,,,,0.0,,L; mL,,,,3.0,,,
C41255,C41255,Interpretation,"An act or process of elucidation, explication, or explanation of the meaning of an event or thing.",INTERPRETATION;INTP,full,Subject,INTP,Interpretation,C41255,Respiratory System Findings,Analysis,Analysis,DSS,RE,INTP_RE,Interpretation (RE),RE,Findings,Qualitative,,,,,0.0,,,,,,2.0,,,
C84372,C84372,Knee to Heel Length Measurement,A measurement of the length of the lower leg from the top of the knee to the bottom of the heel. This measurement may be taken with a knemometer or calipers.,Knee to Heel Length;KNEEHEEL;Knee Height;Lower Leg Length,full,Subject,KNEEHEEL,Knee to Heel Length,C84372,Body Measurements; Vital Signs,Body Frame Size,Body Frame Size,DSS,VS,KNEEHEEL,Knee to Heel Length,VS,Findings,Quantitative,,,,,0.0,,cm; in; mm,,,,3.0,,,
C71258,C71258,Lean Body Mass,The mass of the body minus the fat.,LBM,full,Subject,LBM,Lean Body Mass,C71258,Mass Measurement; Vital Signs,Personal Attribute,Personal Attribute,DSS,VS,LBM,Lean Body Mass,VS,Findings,Quantitative,,,,,0.0,,g; kg; LB,,,,3.0,,,
C139219,C139219,Lean Body Mass to Total Body Mass Ratio,The proportion of an individual's lean body mass to his total body weight; lean body mass is calculated by subtracting body fat from total body weight.,LBMTBMR,full,Subject,LBMTBMR,Lean Body Mass to Total Body Mass Ratio,C139219,Mass Measurement; Vital Signs,Personal Attribute,Personal Attribute,DSS,VS,LBMTBMR,Lean Body Mass to Total Body Mass Ratio,VS,Findings,Quantitative,,,,,0.0,,RATIO,,,,3.0,,,
C199997,C199997,Lean Tissue Mass Measurement,The weight of a tissue part or whole tissue in an individual less the weight of the individual's body fat within that tissue part or whole tissue.,Lean Tissue Mass;LTM,full,Subject,LTM,Lean Tissue Mass,C199997,Mass Measurement; Vital Signs,Mass Measurement,Mass Measurement,DSS,VS,LTM,Lean Tissue Mass,VS,Findings,Quantitative,,,,,0.0,,g; kg; LB,,,,3.0,,,
